Field Name,Description,Data Type,Comments
ImageID**,Primary key,uuid (string),
RA_Center*,,double,
Dec_Center*,,double,
HTM_ID*,"Hierarchical Triangular Mesh, used to build 2D coordinates on sphere
(Spherical Triangular)",string ? (Text/binary?),
Quadrant*,¼ quadrants,int8,
SubImageID*,,int16,
ExpTime,,single,
JD*,JD of start of Exposure,double,
Year*,UTC year (start),int16,Do we need index on it? or index of all 3 fields
Month*,UTC month (start),int8,
Day*,UTC day (start),int8,
Version*,,int8,
JD_Insertion,JD of insertion to DB,double,
,,,
,,,
,,,
RollAngle,[deg],single,
RA_TL,[deg] TopLeft corner,single,
RA_TR,[deg],single,
RA_BL,[deg],single,
RA_BR,[deg],single,
Dec_TL,[deg] TopLeft corner,single,
Dec_TR,[deg],single,
Dec_BL,[deg],single,
Dec_BR,[deg],single,
Rotation,[deg],single,
Scale,[arcse/pix],single,
,,,
Median,,single,
Mean,,single,
StD,,single,
Background,,single,
Variance,,single,
Nsrc,,int32,
Ncr,,int32,
Nstreak,,int16,
Nsaturated,,int32,
,,,
PSF_FWHM*,,single,
PSF_FWHM_ColorTerm,,single,
,,,
ZP,,single,
ColorTerm,,single,
,,,
IsTherePSF,,bool,
IsThereBack,,bool,
IsThereaVariance,,bool,
IsThereMask,,bool,
IsThereSubD,,bool,
IsThereSubPSF,,bool,
